# {'integration_time_us': 10000, 'end_index': 998, 'start_index': 50}
3.801915712811032790e+02,2.396630000000000109e+03,1.390359665698052138e+00
3.809821713151773679e+02,2.396389999999999873e+03,1.482531618549837171e+00
3.817726990630719683e+02,2.396519999999999982e+03,1.590471628165683438e+00
3.825631545202739972e+02,2.396239999999999782e+03,1.436105845681299176e+00
3.833535376822703711e+02,2.396360000000000127e+03,1.584424185627068660e+00
3.841438485445480637e+02,2.396440000000000055e+03,1.589465318904442315e+00
3.849340871025939919e+02,2.396519999999999982e+03,1.403424383427906763e+00
3.857242533518951291e+02,2.396219999999999800e+03,1.572132309953586438e+00
3.865143472879382784e+02,2.396400000000000091e+03,1.248999599679679884e+00
3.873043689062104136e+02,2.396329999999999927e+03,1.378803829411566539e+00
3.880943182021986217e+02,2.396559999999999945e+03,1.538310761842353047e+00
3.888841951713895924e+02,2.396360000000000127e+03,1.345511055324333016e+00
3.896739998092704127e+02,2.396449999999999818e+03,1.235920709430827769e+00
3.904637321113279995e+02,2.396550000000000182e+03,1.639359631075500090e+00
3.912533920730492696e+02,2.396369999999999891e+03,1.467344540317644386e+00
3.920429796899210828e+02,2.396440000000000055e+03,1.387948125831797830e+00
3.928324949574305265e+02,2.396130000000000109e+03,1.425868156597937197e+00
3.936219378710644037e+02,2.396440000000000055e+03,1.518683640525570588e+00
3.944113084263098017e+02,2.396420000000000073e+03,1.436523581428442942e+00
3.952006066186534099e+02,2.396360000000000127e+03,1.664451861725054549e+00
3.959898324435823724e+02,2.396449999999999818e+03,1.409787217987168662e+00
3.967789858965834355e+02,2.396349999999999909e+03,1.351850583459577537e+00
3.975680669731436865e+02,2.396530000000000200e+03,1.486304141150121438e+00
3.983570756687500420e+02,2.396289999999999964e+03,1.387767992137014073e+00
3.991460119788893053e+02,2.396659999999999854e+03,1.379999999999999893e+00
3.999348758990485635e+02,2.396489999999999782e+03,1.438714704171747849e+00
4.007236674247147334e+02,2.396320000000000164e+03,1.362938002992065689e+00
4.015123865513746182e+02,2.396429999999999836e+03,1.443987534572234388e+00
4.023010332745152482e+02,2.396460000000000036e+03,1.465742132846020063e+00
4.030896075896235402e+02,2.396449999999999818e+03,1.381122731693313677e+00
4.038781094921864110e+02,2.396420000000000073e+03,1.357792325799494382e+00
4.046665389776909478e+02,2.396380000000000109e+03,1.647907764409161091e+00
4.054548960416237833e+02,2.396550000000000182e+03,1.444818327679989300e+00
4.062431806794720046e+02,2.396409999999999854e+03,1.414885154349991625e+00
4.070313928867226423e+02,2.396400000000000091e+03,1.414213562373095145e+00
4.078195326588623857e+02,2.396409999999999854e+03,1.530326762492246084e+00
4.086075999913784358e+02,2.396369999999999891e+03,1.390359665698052138e+00
4.093955948797575388e+02,2.396340000000000146e+03,1.464377000638838355e+00
4.101835173194867252e+02,2.396449999999999818e+03,1.525614630239235936e+00
4.109713673060529686e+02,2.396380000000000109e+03,1.454510226846136511e+00
4.117591448349429584e+02,2.396409999999999854e+03,1.606829175737109594e+00
4.125468499016439523e+02,2.396369999999999891e+03,1.460513608289905507e+00
4.133344825016426398e+02,2.396449999999999818e+03,1.299038105676658228e+00
4.141220426304259945e+02,2.396170000000000073e+03,1.400392802038056717e+00
4.149095302834811037e+02,2.396590000000000146e+03,1.349777759484871442e+00
4.156969454562946567e+02,2.396329999999999927e+03,1.311907008899640070e+00
4.164842881443537976e+02,2.396530000000000200e+03,1.284172885557080868e+00
4.172715583431453297e+02,2.396369999999999891e+03,1.553415591527264050e+00
4.180587560481562264e+02,2.396599999999999909e+03,1.435270009440732464e+00
4.188458812548734613e+02,2.396559999999999945e+03,1.321514282934543427e+00
4.196329339587839513e+02,2.396469999999999800e+03,1.452274078815703362e+00
4.204199141553744994e+02,2.396340000000000146e+03,1.401570547635758279e+00
4.212068218401323065e+02,2.396190000000000055e+03,1.501299437154360872e+00
4.219936570085440621e+02,2.396559999999999945e+03,1.373462777071151830e+00
4.227804196560967398e+02,2.396559999999999945e+03,1.498799519615615639e+00
4.235671097782773131e+02,2.396250000000000000e+03,1.577181029558750280e+00
4.243537273705726989e+02,2.396409999999999854e+03,1.421935300919138001e+00
4.251402724284698706e+02,2.396429999999999836e+03,1.478208375027012078e+00
4.259267449474557452e+02,2.396409999999999854e+03,1.371823603820841120e+00
4.267131449230172393e+02,2.396239999999999782e+03,1.379275171965333113e+00
4.274994723506412697e+02,2.396380000000000109e+03,1.302152064852642122e+00
4.282857272258148100e+02,2.396469999999999800e+03,1.717294383616274400e+00
4.290719095440247770e+02,2.396440000000000055e+03,1.518683640525570588e+00
4.298580193007580306e+02,2.396409999999999854e+03,1.371823603820840898e+00
4.306440564915016012e+02,2.396550000000000182e+03,1.344432965974875493e+00
4.314300211117423487e+02,2.396380000000000109e+03,1.521709564930180614e+00
4.322159131569672468e+02,2.396539999999999964e+03,1.431223253025187381e+00
4.330017326226632690e+02,2.396489999999999782e+03,1.445648643343188100e+00
4.337874795043172185e+02,2.396159999999999854e+03,1.553833967964402207e+00
4.345731537974161824e+02,2.396510000000000218e+03,1.688164683909718855e+00
4.353587554974470208e+02,2.396309999999999945e+03,1.316776366738103610e+00
4.361442845998966504e+02,2.396360000000000127e+03,1.330563790278391778e+00
4.369297411002519880e+02,2.396539999999999964e+03,1.314686274363583651e+00
4.377151249940000639e+02,2.396400000000000091e+03,1.523154621172781553e+00
4.385004362766276813e+02,2.396489999999999782e+03,1.322837858545029555e+00
4.392856749436218138e+02,2.396519999999999982e+03,1.577846633865281678e+00
4.400708409904694349e+02,2.396679999999999836e+03,1.391977011304425194e+00
4.408559344126574615e+02,2.396570000000000164e+03,1.537888162383728163e+00
4.416409552056727534e+02,2.396730000000000018e+03,1.611552046941084670e+00
4.424259033650023412e+02,2.396420000000000073e+03,1.491174034108695201e+00
4.432107788861331414e+02,2.396230000000000018e+03,1.448136733875637905e+00
4.439955817645520710e+02,2.396400000000000091e+03,1.385640646055101843e+00
4.447803119957460467e+02,2.396659999999999854e+03,1.436802004452944592e+00
4.455649695752019852e+02,2.396280000000000200e+03,1.349666625504238882e+00
